"did","charge","battery_overload","overload","charging","battery_full_voltage","overdischarge_voltage","load_on","charge_current","battery_temperature","battery_full","over_discharge","pv_voltage","load_current","battery_voltage","load_short","date"
tidbase4,"104.24358557914059","0","0","0","14.770796874999998","10.889109374999997","1","0","4.2375","0","0","0.15671875000000002","0.9971718749999999","12.7008125","0","Wed Apr 01 2015 21:00:00 GMT-0400 (EDT)"
tidbase4,"103.93616891114537","0","0","0","14.776052631578947","10.886167763157895","1","0","3.96875","0","0","0.158141447368421","1.0199013157894736","12.687730263157896","0","Wed Apr 01 2015 21:20:00 GMT-0400 (EDT)"
tidbase4,"103.63110575702972","0","0","0","14.791468749999998","10.87853125","1","0","3","0","0","0.15546875","1.0014531249999998","12.670687500000001","0","Wed Apr 01 2015 21:40:00 GMT-0400 (EDT)"
tidbase4,"103.32573241944289","0","0","0","14.806595394736846","10.870049342105263","1","0","2.241776315789474","0","0","0.15748355263157895","1.0039802631578947","12.65644736842105","0","Wed Apr 01 2015 22:00:00 GMT-0400 (EDT)"
tidbase4,"103.01975517972377","0","0","0","14.811328124999998","10.86746875","1","0","2","0","0","0.15796875000000002","1.009859375","12.649984374999999","0","Wed Apr 01 2015 22:20:00 GMT-0400 (EDT)"
tidbase4,"102.71228504234989","0","0","0","14.811315789473682","10.86764802631579","1","0","2","0","0","0.15657894736842107","1.0212500000000002","12.643766447368419","0","Wed Apr 01 2015 22:40:00 GMT-0400 (EDT)"
tidbase4,"102.41384901137657","0","0","0","14.827894736842106","10.859750000000002","1","0","1.0984375","0","0","0.15546875","1.002921875","12.632250000000003","0","Wed Apr 01 2015 23:00:00 GMT-0400 (EDT)"
tidbase4,"102.10647148975724","0","0","0","14.829953125","10.858322368421051","1","0","1","0","0","0.1553453947368421","1.0079934210526313","12.619901315789477","0","Wed Apr 01 2015 23:20:00 GMT-0400 (EDT)"
tidbase4,"101.79905468471615","0","0","0","14.84111842105263","10.852894736842105","1","0","0.36348684210526316","0","0","0.15222039473684212","1.0183552631578947","12.608256578947366","0","Wed Apr 01 2015 23:40:00 GMT-0400 (EDT)"
tidbase4,"101.49242045101609","0","0","0","14.847609375","10.850687500000003","1","0","0","0","0","0.15234375000000003","1.00525","12.597000000000003","0","Thu Apr 02 2015 00:00:00 GMT-0400 (EDT)"
