"did","charge","charging","overdischarge_voltage","battery_full_voltage","battery_overload","overload","load_on","pv_voltage","battery_full","over_discharge","battery_temperature","charge_current","load_current","battery_voltage","load_short","date"
tidbase4,"-12.90347640204679","0","10.800000000000004","14.991134868421051","0","0","1","0.15976562499999997","0","0","-8","0","1.069578125","12.45775","0","Sun Mar 01 2015 03:40:00 GMT-0500 (EST)"
tidbase4,"-13.226384564156225","0","10.800000000000004","14.991546874999997","0","0","1","0.16093749999999998","0","0","-8","0","1.0739638157894735","12.446546052631577","0","Sun Mar 01 2015 04:00:00 GMT-0500 (EST)"
tidbase4,"-13.552089254953264","0","10.800000000000004","14.992319078947368","0","0","1","0.1611842105263158","0","0","-8.03453947368421","0","1.0775","12.436134868421055","0","Sun Mar 01 2015 04:20:00 GMT-0500 (EST)"
tidbase4,"-13.878937366241349","0","10.800000000000004","15.01009375","0","0","1","0.1603125","0","0","-8.9984375","0","1.0685156249999999","12.426281249999999","0","Sun Mar 01 2015 04:40:00 GMT-0500 (EST)"
tidbase4,"-14.202448851059902","0","10.800000000000004","15.01029605263158","0","0","1","0.16077302631578946","0","0","-9","0","1.0673355263157895","12.417697368421054","0","Sun Mar 01 2015 05:00:00 GMT-0500 (EST)"
tidbase4,"-14.516863693200714","0","10.800000000000004","15.010476973684215","0","0","1","0.19185855263157894","0","0","-9","0","1.0686019736842105","12.408338815789472","0","Sun Mar 01 2015 05:20:00 GMT-0500 (EST)"
tidbase4,"-14.842990535423828","0","10.800000000000004","15.010328125000001","0","0","1","4.869078125","0","0","-9","0","1.0657656249999998","12.40465625","0","Sun Mar 01 2015 05:40:00 GMT-0500 (EST)"
tidbase4,"-15.161570392513571","0.9703947368421053","10.800000000000004","14.998256578947366","0","0","1","15.35481907894737","0","0","-8.348684210526315","0.04866776315789474","1.081200657894737","12.409654605263155","0","Sun Mar 01 2015 06:00:00 GMT-0500 (EST)"
tidbase4,"-15.433811594356271","1","10.800000000000004","14.987015624999998","0","0","1","17.024765625000004","0","0","-7.771875","0.45857812499999995","1.079296875","12.450812499999998","0","Sun Mar 01 2015 06:20:00 GMT-0500 (EST)"
tidbase4,"-15.475959010010238","1","10.800016447368424","14.969490131578949","0","0","1","19.462220394736843","0","0","-6.756578947368421","1.2950493421052633","1.062746710526316","12.61638157894737","0","Sun Mar 01 2015 06:40:00 GMT-0500 (EST)"
tidbase4,"-15.458591471124963","1","10.805230263157892","14.935312499999997","0","0","1","18.88310855263158","0","0","-4.791118421052632","0.7450164473684209","1.0788815789473685","12.570230263157898","0","Sun Mar 01 2015 07:00:00 GMT-0500 (EST)"
tidbase4,"-15.619131379107458","1","10.814259868421054","14.914161184210526","0","0","1","19.106381578947364","0","0","-3.6628289473684212","0.5029276315789473","1.0950000000000002","12.46264802631579","0","Sun Mar 01 2015 07:20:00 GMT-0500 (EST)"
tidbase4,"-15.788677452827894","1","10.823203125000001","14.898046875","0","0","1","19.580859375000003","0","0","-2.790625","0.587859375","1.081734375","12.46496875","0","Sun Mar 01 2015 07:40:00 GMT-0500 (EST)"
tidbase4,"-15.89361666607906","1","10.831332236842107","14.882483552631578","0","0","1","19.588042763157897","0","0","-1.8898026315789473","1.005608552631579","1.0803947368421052","12.533980263157895","0","Sun Mar 01 2015 08:00:00 GMT-0500 (EST)"
tidbase4,"-15.729358614141733","1","10.849210526315789","14.849375","0","0","1","19.98014802631579","0","0","-0.024305555555555556","2.554461805555556","1.0509868421052635","12.935493421052632","0","Sun Mar 01 2015 08:20:00 GMT-0500 (EST)"
tidbase4,"-14.950163003658295","1","10.892483552631578","14.767296874999996","0","0","1","19.414111842105264","0","0","4.44375","4.129109375","1.0025657894736841","13.596940789473683","0","Sun Mar 01 2015 08:40:00 GMT-0500 (EST)"
tidbase4,"-13.968180437549563","1","10.922532894736841","14.697713815789475","0","0","1","18.71904605263158","0","0","8.217105263157896","4.39779605263158","0.9972697368421053","13.761776315789474","0","Sun Mar 01 2015 09:00:00 GMT-0500 (EST)"
tidbase4,"-13.075859400944694","1","10.941953125000001","14.663874999999999","0","0","1","19.295390625","0","0","10.253125","3.7447039473684205","1.0056718749999998","13.69646875","0","Sun Mar 01 2015 09:20:00 GMT-0500 (EST)"
tidbase4,"-12.314184881647886","1","10.94904605263158","14.65032894736842","0","0","1","19.426611842105267","0","0","11","3.1367187500000004","1.0103453947368424","13.58597039473684","0","Sun Mar 01 2015 09:40:00 GMT-0500 (EST)"
tidbase4,"-11.72594765286231","1","10.94659539473684","14.65455592105263","0","0","1","19.423322368421054","0","0","10.75328947368421","2.5929769736842103","1.0222697368421052","13.491743421052634","0","Sun Mar 01 2015 10:00:00 GMT-0500 (EST)"
tidbase4,"-11.385576623389023","1","10.939187500000005","14.668578125","0","0","1","19.54140625","0","0","10","2.078671875","1.03009375","13.318125","0","Sun Mar 01 2015 10:20:00 GMT-0500 (EST)"
tidbase4,"-11.063330421056424","1","10.938975694444443","14.669618055555551","0","0","1","19.135260416666668","0","0","9.958333333333334","2.1653298611111107","1.0265972222222224","13.330225694444444","0","Sun Mar 01 2015 10:40:00 GMT-0500 (EST)"
tidbase4,"-10.740941237410228","1","10.9320625","14.681812499999996","0","0","1","19.368515625","0","0","9.228125","2.0333125","1.0217031250000002","13.30921875","0","Sun Mar 01 2015 11:00:00 GMT-0500 (EST)"
tidbase4,"-10.431329265142553","1","10.93016447368421","14.684259868421053","0","0","1","19.378832236842104","0","0","9.042763157894736","2.001398026315789","1.0220888157894736","13.30325657894737","0","Sun Mar 01 2015 11:20:00 GMT-0500 (EST)"
tidbase4,"-10.196874420606662","1","10.929359375","14.685484374999998","0","0","1","19.424140625","0","0","9.0140625","1.660125","1.03753125","13.220046875000003","0","Sun Mar 01 2015 11:40:00 GMT-0500 (EST)"
tidbase4,"-9.977248409275617","1","10.929588815789472","14.685855263157896","0","0","1","19.674967105263164","0","0","9","1.9841940789473682","1.0326315789473686","13.260394736842105","0","Sun Mar 01 2015 12:00:00 GMT-0500 (EST)"
tidbase4,"-9.655155280275302","1","10.929473684210526","14.686365131578949","0","0","1","19.40185855263158","0","0","9.004934210526315","2.1367763157894735","1.0292105263157894","13.334999999999997","0","Sun Mar 01 2015 12:20:00 GMT-0500 (EST)"
tidbase4,"-9.319620051041355","1","10.929468749999998","14.68578125","0","0","1","19.325234375","0","0","9.0359375","2.1082499999999995","1.03625","13.339000000000002","0","Sun Mar 01 2015 12:40:00 GMT-0500 (EST)"
