"conds","fog","hail","rain","snow","thunder","tornado","temp","vis","date","year","month","day","hour","minute","second","tzname"
Overcast,0,0,0,0,0,0,3.9,16.1,2014/11/02 17:52:00,2014,11,02,17,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,3.9,16.1,2014/11/02 18:52:00,2014,11,02,18,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,2014/11/02 19:52:00,2014,11,02,19,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,2014/11/02 20:52:00,2014,11,02,20,52,00,America/New_York
Clear,0,0,0,0,0,0,3.3,16.1,2014/11/02 21:52:00,2014,11,02,21,52,00,America/New_York
Clear,0,0,0,0,0,0,3.3,16.1,2014/11/02 22:52:00,2014,11,02,22,52,00,America/New_York
Clear,0,0,0,0,0,0,2.8,16.1,2014/11/03 00:52:00,2014,11,03,00,52,00,America/New_York
Clear,0,0,0,0,0,0,1.7,16.1,2014/11/03 01:52:00,2014,11,03,01,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,2014/11/03 02:52:00,2014,11,03,02,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,2014/11/03 03:52:00,2014,11,03,03,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,2014/11/03 04:52:00,2014,11,03,04,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,2014/11/03 05:52:00,2014,11,03,05,52,00,America/New_York
Clear,0,0,0,0,0,0,1.1,16.1,2014/11/03 06:52:00,2014,11,03,06,52,00,America/New_York
Clear,0,0,0,0,0,0,2.2,16.1,2014/11/03 07:52:00,2014,11,03,07,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,2014/11/03 08:52:00,2014,11,03,08,52,00,America/New_York
Clear,0,0,0,0,0,0,5.6,16.1,2014/11/03 09:52:00,2014,11,03,09,52,00,America/New_York
Clear,0,0,0,0,0,0,7.8,16.1,2014/11/03 10:52:00,2014,11,03,10,52,00,America/New_York
Clear,0,0,0,0,0,0,8.9,16.1,2014/11/03 11:52:00,2014,11,03,11,52,00,America/New_York
Clear,0,0,0,0,0,0,10.0,16.1,2014/11/03 12:52:00,2014,11,03,12,52,00,America/New_York
Clear,0,0,0,0,0,0,10.6,16.1,2014/11/03 13:52:00,2014,11,03,13,52,00,America/New_York
Clear,0,0,0,0,0,0,10.6,16.1,2014/11/03 14:52:00,2014,11,03,14,52,00,America/New_York
Clear,0,0,0,0,0,0,10.0,16.1,2014/11/03 15:52:00,2014,11,03,15,52,00,America/New_York
Clear,0,0,0,0,0,0,7.8,16.1,2014/11/03 16:52:00,2014,11,03,16,52,00,America/New_York
Clear,0,0,0,0,0,0,6.1,16.1,2014/11/03 17:52:00,2014,11,03,17,52,00,America/New_York
Clear,0,0,0,0,0,0,6.1,16.1,2014/11/03 18:52:00,2014,11,03,18,52,00,America/New_York
Clear,0,0,0,0,0,0,6.7,16.1,2014/11/03 19:52:00,2014,11,03,19,52,00,America/New_York
Clear,0,0,0,0,0,0,3.9,16.1,2014/11/03 20:52:00,2014,11,03,20,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,3.9,16.1,2014/11/03 21:52:00,2014,11,03,21,52,00,America/New_York
Overcast,0,0,0,0,0,0,6.7,16.1,2014/11/03 22:52:00,2014,11,03,22,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.2,16.1,2014/11/03 23:52:00,2014,11,03,23,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,5.0,16.1,2014/11/04 00:52:00,2014,11,04,00,52,00,America/New_York
Clear,0,0,0,0,0,0,7.8,16.1,2014/11/04 01:52:00,2014,11,04,01,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,7.2,16.1,2014/11/04 02:52:00,2014,11,04,02,52,00,America/New_York
Scattered Clouds,0,0,0,0,0,0,2.2,16.1,2014/11/04 03:52:00,2014,11,04,03,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,2.2,16.1,2014/11/04 04:52:00,2014,11,04,04,52,00,America/New_York
Overcast,0,0,0,0,0,0,2.2,16.1,2014/11/04 05:52:00,2014,11,04,05,52,00,America/New_York
Clear,0,0,0,0,0,0,1.7,16.1,2014/11/04 06:52:00,2014,11,04,06,52,00,America/New_York
Clear,0,0,0,0,0,0,6.7,16.1,2014/11/04 07:52:00,2014,11,04,07,52,00,America/New_York
Clear,0,0,0,0,0,0,11.1,16.1,2014/11/04 08:52:00,2014,11,04,08,52,00,America/New_York
Clear,0,0,0,0,0,0,13.9,16.1,2014/11/04 09:52:00,2014,11,04,09,52,00,America/New_York
Clear,0,0,0,0,0,0,15.0,16.1,2014/11/04 10:52:00,2014,11,04,10,52,00,America/New_York
Clear,0,0,0,0,0,0,15.6,16.1,2014/11/04 11:52:00,2014,11,04,11,52,00,America/New_York
Clear,0,0,0,0,0,0,16.7,16.1,2014/11/04 12:52:00,2014,11,04,12,52,00,America/New_York
Mostly Cloudy,0,0,0,0,0,0,16.1,16.1,2014/11/04 13:52:00,2014,11,04,13,52,00,America/New_York
Clear,0,0,0,0,0,0,14.4,16.1,2014/11/04 14:52:00,2014,11,04,14,52,00,America/New_York
Clear,0,0,0,0,0,0,13.3,16.1,2014/11/04 15:52:00,2014,11,04,15,52,00,America/New_York
Clear,0,0,0,0,0,0,11.7,16.1,2014/11/04 16:52:00,2014,11,04,16,52,00,America/New_York
Clear,0,0,0,0,0,0,11.1,16.1,2014/11/04 17:52:00,2014,11,04,17,52,00,America/New_York
Clear,0,0,0,0,0,0,11.1,16.1,2014/11/04 18:52:00,2014,11,04,18,52,00,America/New_York
Clear,0,0,0,0,0,0,11.1,16.1,2014/11/04 19:52:00,2014,11,04,19,52,00,America/New_York
Clear,0,0,0,0,0,0,11.1,16.1,2014/11/04 20:52:00,2014,11,04,20,52,00,America/New_York
Clear,0,0,0,0,0,0,11.1,16.1,2014/11/04 21:52:00,2014,11,04,21,52,00,America/New_York
Clear,0,0,0,0,0,0,11.7,16.1,2014/11/04 22:52:00,2014,11,04,22,52,00,America/New_York
Clear,0,0,0,0,0,0,12.2,16.1,2014/11/04 23:52:00,2014,11,04,23,52,00,America/New_York
Clear,0,0,0,0,0,0,13.3,16.1,2014/11/05 00:52:00,2014,11,05,00,52,00,America/New_York
Clear,0,0,0,0,0,0,13.9,16.1,2014/11/05 01:52:00,2014,11,05,01,52,00,America/New_York
Clear,0,0,0,0,0,0,14.4,16.1,2014/11/05 02:52:00,2014,11,05,02,52,00,America/New_York
Clear,0,0,0,0,0,0,15.0,16.1,2014/11/05 03:52:00,2014,11,05,03,52,00,America/New_York
Clear,0,0,0,0,0,0,14.4,16.1,2014/11/05 04:52:00,2014,11,05,04,52,00,America/New_York
Clear,0,0,0,0,0,0,13.9,16.1,2014/11/05 05:52:00,2014,11,05,05,52,00,America/New_York
Clear,0,0,0,0,0,0,13.9,16.1,2014/11/05 06:52:00,2014,11,05,06,52,00,America/New_York
Clear,0,0,0,0,0,0,14.4,16.1,2014/11/05 07:52:00,2014,11,05,07,52,00,America/New_York
Clear,0,0,0,0,0,0,15.0,16.1,2014/11/05 08:52:00,2014,11,05,08,52,00,America/New_York
Partly Cloudy,0,0,0,0,0,0,16.1,16.1,2014/11/05 09:52:00,2014,11,05,09,52,00,America/New_York
Clear,0,0,0,0,0,0,17.2,16.1,2014/11/05 10:52:00,2014,11,05,10,52,00,America/New_York
Clear,0,0,0,0,0,0,18.3,16.1,2014/11/05 11:52:00,2014,11,05,11,52,00,America/New_York
Clear,0,0,0,0,0,0,18.3,16.1,2014/11/05 12:52:00,2014,11,05,12,52,00,America/New_York
Clear,0,0,0,0,0,0,18.3,16.1,2014/11/05 13:52:00,2014,11,05,13,52,00,America/New_York
Clear,0,0,0,0,0,0,17.8,16.1,2014/11/05 14:52:00,2014,11,05,14,52,00,America/New_York
Clear,0,0,0,0,0,0,15.6,16.1,2014/11/05 15:52:00,2014,11,05,15,52,00,America/New_York
Clear,0,0,0,0,0,0,14.4,16.1,2014/11/05 16:52:00,2014,11,05,16,52,00,America/New_York
Clear,0,0,0,0,0,0,10.0,16.1,2014/11/05 17:52:00,2014,11,05,17,52,00,America/New_York
Clear,0,0,0,0,0,0,9.4,16.1,2014/11/05 18:52:00,2014,11,05,18,52,00,America/New_York
Clear,0,0,0,0,0,0,9.4,16.1,2014/11/05 19:52:00,2014,11,05,19,52,00,America/New_York
Clear,0,0,0,0,0,0,8.3,16.1,2014/11/05 20:52:00,2014,11,05,20,52,00,America/New_York
Clear,0,0,0,0,0,0,7.8,14.5,2014/11/05 21:52:00,2014,11,05,21,52,00,America/New_York
Clear,0,0,0,0,0,0,7.2,16.1,2014/11/05 22:52:00,2014,11,05,22,52,00,America/New_York
Clear,0,0,0,0,0,0,6.1,16.1,2014/11/05 23:52:00,2014,11,05,23,52,00,America/New_York
Clear,0,0,0,0,0,0,6.1,16.1,2014/11/06 00:52:00,2014,11,06,00,52,00,America/New_York
Clear,0,0,0,0,0,0,7.2,16.1,2014/11/06 01:52:00,2014,11,06,01,52,00,America/New_York
Clear,0,0,0,0,0,0,6.7,16.1,2014/11/06 02:52:00,2014,11,06,02,52,00,America/New_York
Overcast,0,0,0,0,0,0,6.7,16.1,2014/11/06 03:52:00,2014,11,06,03,52,00,America/New_York
Overcast,0,0,0,0,0,0,7.8,16.1,2014/11/06 04:52:00,2014,11,06,04,52,00,America/New_York
Overcast,0,0,0,0,0,0,9.4,16.1,2014/11/06 05:52:00,2014,11,06,05,52,00,America/New_York
Overcast,0,0,0,0,0,0,10.0,16.1,2014/11/06 06:52:00,2014,11,06,06,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,16.1,2014/11/06 07:52:00,2014,11,06,07,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,16.1,2014/11/06 08:52:00,2014,11,06,08,52,00,America/New_York
Light Rain,0,0,1,0,0,0,9.4,14.5,2014/11/06 09:52:00,2014,11,06,09,52,00,America/New_York
